Field;Point;Latitude;Longitude;Phosphorus;Potassium;Nitrogen;Acidity;Humus;Calcium;Magnesium;Sulfur;Manganese;Zinc;Copper;Cobalt;Boron;Molybdenum
1;1;56,28377245;40,35286903;110;331;0;6,5;5,2;13;8;4,5;8;0,15;0,04;0,08;0,86;0,1
1;2;56,28386774;40,35750389;110;331;0;6,5;5,2;13;8;4,5;8;0,15;0,04;0,08;0,86;0,1
1;3;56,28372481;40,36325455;110;331;0;6,5;5,2;13;8;4,5;8;0,15;0,04;0,08;0,86;0,1
1;4;56,28377245;40,36746025;110;331;0;6,5;5,2;13;8;4,5;8;0,15;0,04;0,08;0,86;0,1
1;5;56,28396302;40,37389755;110;331;0;6,5;5,2;13;8;4,5;8;0,15;0,04;0,08;0,86;0,1
1;6;56,28405831;40,37724495;110;331;0;6,5;5,2;13;8;4,5;8;0,15;0,04;0,08;0,86;0,1
2;1;56,28424888;40,3443718;162;468;0;5,8;3,4;15;4,2;0,8;4,2;0,38;0,07;0,06;1,35;0,1
2;2;56,2839392;40,34720421;162;468;0;5,8;3,4;15;4,2;0,8;4,2;0,38;0,07;0,06;1,35;0,1
3;1;56,28806007;40,35286903;185;613;0;5,6;4,2;11,5;4,5;4,5;4,5;0,4;0,08;0,05;0,9;0,14
3;2;56,28810771;40,35776138;185;613;0;5,6;4,2;11,5;4,5;4,5;4,5;0,4;0,08;0,05;0,9;0,14
3;3;56,28806007;40,36316872;185;613;0;5,6;4,2;11,5;4,5;4,5;4,5;0,4;0,08;0,05;0,9;0,14
3;4;56,2883459;40,36763191;185;613;0;5,6;4,2;11,5;4,5;4,5;4,5;0,4;0,08;0,05;0,9;0,14
3;5;56,28929863;40,37312508;185;613;0;5,6;4,2;11,5;4,5;4,5;4,5;0,4;0,08;0,05;0,9;0,14
4;1;56,29087059;40,36299706;144;406;0;5,8;3,8;14;3;5;3;0,25;0,07;0,07;1,18;0,14
4;2;56,29106112;40,36754608;144;406;0;5,8;3,8;14;3;5;3;0,25;0,07;0,07;1,18;0,14
4;3;56,29325222;40,36720276;144;406;0;5,8;3,8;14;3;5;3;0,25;0,07;0,07;1,18;0,14
5;1;56,29101349;40,3530407;147;411;0;7,4;4,4;14;4,3;3,5;4,3;0,35;0,05;0,06;0,9;0,1
5;2;56,29087059;40,35750389;147;411;0;7,4;4,4;14;4,3;3,5;4,3;0,35;0,05;0,06;0,9;0,1
5;3;56,29287117;40,3572464;147;411;0;7,4;4,4;14;4,3;3,5;4,3;0,35;0,05;0,06;0,9;0,1
5;4;56,29296643;40,35261154;147;411;0;7,4;4,4;14;4,3;3,5;4,3;0,35;0,05;0,06;0,9;0,1
6;1;56,29082295;40,34660339;139;461;0;6,9;4,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
6;2;56,2929188;40,34626007;139;461;0;6,9;4,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
6;3;56,2949669;40,34617424;139;461;0;6,9;4,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
6;4;56,29706251;40,34540176;139;461;0;6,9;4,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
6;5;56,29849128;40,34540176;139;461;0;6,9;4,8;10;2,4;1,3;2,4;0,25;0,11;0,07;1,06;0,09
